2017-05-10 09:53:55 | (com.phunware.core.api.tests.Client) | [verify_Get_ClientDetails] | REQUEST-URL:GET-http://core-api-stage.phunware.com/v2.0/clients/468
2017-05-10 09:53:56 | (com.phunware.core.api.tests.Client) | [verify_Get_ClientDetails] | RESPONSE:{"data":{"id":468,"org_id":132,"category_id":2,"name":"qa dummy app","type":"android","itunes_store_url":null,"android_play_url":null,"tapit_site_id":null,"is_active":1,"created_at":"2016-11-09T15:39:14Z","updated_at":"2016-11-16T19:52:06Z"}}
2017-05-10 09:53:57 | (com.phunware.core.api.tests.Client) | [verify_Get_ClientDetails_InvalidClientId] | REQUEST-URL:GET-http://core-api-stage.phunware.com/v2.0/clients/000
2017-05-10 09:53:57 | (com.phunware.core.api.tests.Client) | [verify_Get_ClientDetails_InvalidClientId] | RESPONSE:{"error":{"message":"The specified client does not exist."}}
2017-05-10 09:53:57 | (com.phunware.core.api.tests.Client) | [verify_Get_ClientDetails_InvalidAuth] | REQUEST-URL:GET-http://core-api-stage.phunware.com/v2.0/clients/468
2017-05-10 09:53:57 | (com.phunware.core.api.tests.Client) | [verify_Get_ClientDetails_InvalidAuth] | RESPONSE:{"status":"access denied","msg":"invalid token"}
2017-05-10 09:53:57 | (com.phunware.core.api.tests.Client) | [verify_Get_ClientTypes] | REQUEST-URL:GET-http://core-api-stage.phunware.com/v2.0/client-types
2017-05-10 09:53:57 | (com.phunware.core.api.tests.Client) | [verify_Get_ClientTypes] | RESPONSE:{"data":[{"id":2,"name":"Android","key":"android","created_at":"2013-05-29T12:09:43Z","updated_at":null},{"id":1,"name":"iOS","key":"ios","created_at":"2013-05-29T12:09:33Z","updated_at":null}]}
2017-05-10 09:53:57 | (com.phunware.core.api.tests.Client) | [verify_Get_ClientTypes_InvalidAuth] | REQUEST-URL:GET-http://core-api-stage.phunware.com/v2.0/client-types
2017-05-10 09:53:57 | (com.phunware.core.api.tests.Client) | [verify_Get_ClientTypes_InvalidAuth] | RESPONSE:{"status":"access denied","msg":"invalid token"}
2017-05-10 09:53:57 | (com.phunware.core.api.tests.Client) | [verify_Get_Client_Categories] | REQUEST-URL:GET-http://core-api-stage.phunware.com/v2.0/client-categories
2017-05-10 09:53:57 | (com.phunware.core.api.tests.Client) | [verify_Get_Client_Categories] | Query-Params-{"type_id":1}
2017-05-10 09:53:57 | (com.phunware.core.api.tests.Client) | [verify_Get_Client_Categories] | RESPONSE:{"data":[{"id":18,"name":"Books","created_at":"2013-05-29T12:14:48Z","updated_at":null},{"id":15,"name":"Business","created_at":"2013-05-29T12:14:33Z","updated_at":null},{"id":16,"name":"Education","created_at":"2013-05-29T12:14:37Z","updated_at":null},{"id":2,"name":"Entertainment","created_at":"2013-05-29T12:13:05Z","updated_at":null},{"id":14,"name":"Finance","created_at":"2013-05-29T12:14:27Z","updated_at":null},{"id":1,"name":"Games","created_at":"2013-05-29T12:12:57Z","updated_at":null},{"id":11,"name":"Healthcare & Fitness","created_at":"2013-05-29T12:14:06Z","updated_at":null},{"id":7,"name":"Lifestyle Reference","created_at":"2013-05-29T12:13:41Z","updated_at":null},{"id":19,"name":"Medical","created_at":"2013-05-29T12:14:52Z","updated_at":null},{"id":5,"name":"Music","created_at":"2013-05-29T12:13:25Z","updated_at":null},{"id":10,"name":"Navigation","created_at":"2013-05-29T12:13:58Z","updated_at":null},{"id":12,"name":"News","created_at":"2013-05-29T12:14:13Z","updated_at":null},{"id":13,"name":"Photography","created_at":"2013-05-29T12:14:20Z","updated_at":null},{"id":6,"name":"Productivity","created_at":"2013-05-29T12:13:33Z","updated_at":null},{"id":4,"name":"Social Networking","created_at":"2013-05-29T12:13:19Z","updated_at":null},{"id":9,"name":"Sports","created_at":"2013-05-29T12:13:51Z","updated_at":null},{"id":8,"name":"Travel","created_at":"2013-05-29T12:13:48Z","updated_at":null},{"id":3,"name":"Utilities","created_at":"2013-05-29T12:13:12Z","updated_at":null},{"id":17,"name":"Weather","created_at":"2013-05-29T12:14:42Z","updated_at":null}]}
2017-05-10 09:53:57 | (com.phunware.core.api.tests.Client) | [verify_Get_Client_Categories_InvalidAuth] | REQUEST-URL:GET-http://core-api-stage.phunware.com/v2.0/client-categories
2017-05-10 09:53:57 | (com.phunware.core.api.tests.Client) | [verify_Get_Client_Categories_InvalidAuth] | RESPONSE:{"status":"access denied","msg":"invalid token"}
2017-05-10 09:53:57 | (com.phunware.core.api.tests.Client) | [verify_Get_Client_Pagination] | REQUEST-URL:GET-http://core-api-stage.phunware.com/v2.0/clients
2017-05-10 09:53:57 | (com.phunware.core.api.tests.Client) | [verify_Get_Client_Pagination] | Query-Params-{"offset" : "15"," limit ":" 15 "," org_id ":" 1 "}
2017-05-10 09:53:58 | (com.phunware.core.api.tests.Client) | [verify_Get_Client_Pagination] | RESPONSE:{"offset":"15","totalCount":495,"resultCount":15,"data":[{"id":561,"org_id":1,"category_id":15,"name":"3 QA 4664","type":"ios","itunes_store_url":null,"android_play_url":null,"tapit_site_id":46995,"is_active":1,"created_at":"2017-02-10T03:02:04Z","updated_at":"2017-02-14T19:20:17Z"},{"id":202,"org_id":66,"category_id":33,"name":"3.0 app","type":"android","itunes_store_url":"https://","android_play_url":"https://","tapit_site_id":46638,"is_active":1,"created_at":"2015-11-07T08:06:49Z","updated_at":"2016-02-24T06:02:24Z"},{"id":276,"org_id":63,"category_id":16,"name":"3.9","type":"ios","itunes_store_url":"https://","android_play_url":"https://","tapit_site_id":null,"is_active":1,"created_at":"2016-02-02T20:21:03Z","updated_at":"2016-03-31T11:46:22Z"},{"id":513,"org_id":1,"category_id":20,"name":"3A Flashpoint - Android","type":"android","itunes_store_url":null,"android_play_url":null,"tapit_site_id":46966,"is_active":1,"created_at":"2016-11-16T19:51:21Z","updated_at":"2016-12-21T22:50:32Z"},{"id":514,"org_id":1,"category_id":2,"name":"3A Flashpoint - iOS","type":"ios","itunes_store_url":null,"android_play_url":null,"tapit_site_id":46967,"is_active":1,"created_at":"2016-11-16T19:51:21Z","updated_at":"2017-02-14T17:57:49Z"},{"id":285,"org_id":100,"category_id":20,"name":"4.1 New App","type":"android","itunes_store_url":"https://","android_play_url":"https://","tapit_site_id":null,"is_active":1,"created_at":"2016-01-01T17:14:11Z","updated_at":"2016-04-11T11:48:22Z"},{"id":530,"org_id":107,"category_id":2,"name":"4.3 App","type":"ios","itunes_store_url":null,"android_play_url":null,"tapit_site_id":null,"is_active":1,"created_at":"2016-12-07T19:25:15Z","updated_at":null},{"id":515,"org_id":1,"category_id":20,"name":"4A Flashpoint-Android","type":"android","itunes_store_url":null,"android_play_url":null,"tapit_site_id":46968,"is_active":1,"created_at":"2016-11-16T19:49:11Z","updated_at":"2016-12-21T22:48:52Z"},{"id":516,"org_id":1,"category_id":2,"name":"4A Flashpoint-iOS","type":"ios","itunes_store_url":null,"android_play_url":null,"tapit_site_id":46969,"is_active":1,"created_at":"2016-11-16T19:49:11Z","updated_at":"2016-11-28T20:48:51Z"},{"id":211,"org_id":66,"category_id":23,"name":"701","type":"android","itunes_store_url":"https://","android_play_url":"https://","tapit_site_id":46639,"is_active":1,"created_at":"2016-01-01T17:14:11Z","updated_at":"2016-02-24T06:02:25Z"},{"id":191,"org_id":1,"category_id":22,"name":"749","type":"android","itunes_store_url":"https://","android_play_url":"https://","tapit_site_id":46477,"is_active":1,"created_at":"2015-11-07T08:07:34Z","updated_at":"2016-11-18T23:01:21Z"},{"id":196,"org_id":74,"category_id":20,"name":"749 app","type":"android","itunes_store_url":"https://","android_play_url":"https://","tapit_site_id":null,"is_active":1,"created_at":"2015-11-07T08:06:49Z","updated_at":"2015-12-04T11:58:49Z"},{"id":239,"org_id":92,"category_id":16,"name":"858 Retest","type":"ios","itunes_store_url":"https://","android_play_url":"https://","tapit_site_id":null,"is_active":1,"created_at":"2016-02-02T20:21:03Z","updated_at":"2016-03-01T05:15:39Z"},{"id":312,"org_id":1,"category_id":33,"name":"A Test ","type":"ios","itunes_store_url":"https://","android_play_url":"https://","tapit_site_id":null,"is_active":1,"created_at":"2016-01-01T17:14:11Z","updated_at":"2016-11-01T15:39:39Z"},{"id":311,"org_id":1,"category_id":16,"name":"A Test edit","type":"ios","itunes_store_url":"https://","android_play_url":"https://","tapit_site_id":null,"is_active":1,"created_at":"2016-02-02T20:21:03Z","updated_at":"2016-10-31T15:28:15Z"}]}
2017-05-10 09:53:58 | (com.phunware.core.api.tests.Client) | [verify_Get_Client_Pagination_InvalidAuth] | REQUEST-URL:GET-http://core-api-stage.phunware.com/v2.0/clients
2017-05-10 09:53:58 | (com.phunware.core.api.tests.Client) | [verify_Get_Client_Pagination_InvalidAuth] | Query-Params-{"offset" : "15"," limit ":" 15 "," org_id ":" 1 "}
2017-05-10 09:53:58 | (com.phunware.core.api.tests.Client) | [verify_Get_Client_Pagination_InvalidAuth] | RESPONSE:{"status":"access denied","msg":"invalid token"}
2017-05-10 09:53:58 | (com.phunware.core.api.tests.Client) | [verify_Post_New_Client] | REQUEST-URL:POST-http://core-api-stage.phunware.com/v2.0/clients
2017-05-10 09:53:58 | (com.phunware.core.api.tests.Client) | [verify_Post_New_Client] | REQUEST-URL:BODY-{"data":{"category_id":"2","org_id":"132","name":"AppName20170510095358","type":"ios"}}
2017-05-10 09:53:58 | (com.phunware.core.api.tests.Client) | [verify_Post_New_Client] | RESPONSE:{"data":{"id":628,"org_id":"132","category_id":"2","name":"AppName20170510095358","type":"ios","itunes_store_url":null,"android_play_url":null,"tapit_site_id":null,"is_active":1,"created_at":"2017-05-01T21:59:16Z","updated_at":null}}
2017-05-10 09:53:58 | (com.phunware.core.api.tests.Client) | [verify_Post_New_Client] | Captured new Client ID:628
2017-05-10 09:53:58 | (com.phunware.core.api.tests.Client) | [verify_Post_New_Client_emptyOrgID] | REQUEST-URL:POST-http://core-api-stage.phunware.com/v2.0/clients
2017-05-10 09:53:58 | (com.phunware.core.api.tests.Client) | [verify_Post_New_Client_emptyOrgID] | REQUEST-URL:BODY-{"data":{"category_id":"2","org_id":"","name":"AppName20170510095358","type":"ios"}}
2017-05-10 09:53:58 | (com.phunware.core.api.tests.Client) | [verify_Post_New_Client_emptyOrgID] | RESPONSE:{"error":{"code":100,"messages":{"org_id":"No organization specified."}}}
2017-05-10 09:53:58 | (com.phunware.core.api.tests.Client) | [verify_Post_New_Client_emptyCategoryID] | REQUEST-URL:POST-http://core-api-stage.phunware.com/v2.0/clients
2017-05-10 09:53:58 | (com.phunware.core.api.tests.Client) | [verify_Post_New_Client_emptyCategoryID] | REQUEST-URL:BODY-{"data":{"category_id":"","org_id":"132","name":"AppName20170510095358","type":"ios"}}
2017-05-10 09:53:58 | (com.phunware.core.api.tests.Client) | [verify_Post_New_Client_emptyCategoryID] | RESPONSE:{"error":{"code":100,"messages":{"category_id":"No category specified."}}}
2017-05-10 09:53:58 | (com.phunware.core.api.tests.Client) | [verify_Post_New_Client_emptyType] | REQUEST-URL:POST-http://core-api-stage.phunware.com/v2.0/clients
2017-05-10 09:53:58 | (com.phunware.core.api.tests.Client) | [verify_Post_New_Client_emptyType] | REQUEST-URL:BODY-{"data":{"category_id":"2","org_id":"132","name":"AppName20170510095358","type":""}}
2017-05-10 09:53:58 | (com.phunware.core.api.tests.Client) | [verify_Post_New_Client_emptyType] | RESPONSE:{"error":{"code":100,"messages":{"type":"No type specified."}}}
2017-05-10 09:53:58 | (com.phunware.core.api.tests.Client) | [verify_Post_New_Client_emptyName] | REQUEST-URL:POST-http://core-api-stage.phunware.com/v2.0/clients
2017-05-10 09:53:58 | (com.phunware.core.api.tests.Client) | [verify_Post_New_Client_emptyName] | REQUEST-URL:BODY-{"data":{"category_id":"2","org_id":"132","name":"","type":"ios"}}
2017-05-10 09:53:58 | (com.phunware.core.api.tests.Client) | [verify_Post_New_Client_emptyName] | RESPONSE:{"error":{"code":100,"messages":{"name":"The name must be at least 1 character long."}}}
2017-05-10 09:53:58 | (com.phunware.core.api.tests.Client) | [verify_Put_Update_Existing_Client] | REQUEST-URL:PUT-http://core-api-stage.phunware.com/v2.0/clients/628
2017-05-10 09:53:58 | (com.phunware.core.api.tests.Client) | [verify_Put_Update_Existing_Client] | REQUEST-URL:BODY-{"data":{"category_id":"2","org_id":"132","name":"AppName20170510095358","type":"ios"}}
2017-05-10 09:53:59 | (com.phunware.core.api.tests.Client) | [verify_Put_Update_Existing_Client] | RESPONSE:{"data":{"id":628,"org_id":"132","category_id":"2","tapit_site_id":null,"name":"AppName20170510095358","type":"ios","itunes_store_url":null,"android_play_url":null,"is_active":1,"created_at":"2017-05-01T21:59:16Z","updated_at":"2017-05-10T14:53:59Z"}}
2017-05-10 09:53:59 | (com.phunware.core.api.tests.Client) | [verify_Put_Update_Existing_Client_InvalidAuth] | REQUEST-URL:PUT-http://core-api-stage.phunware.com/v2.0/clients/628
2017-05-10 09:53:59 | (com.phunware.core.api.tests.Client) | [verify_Put_Update_Existing_Client_InvalidAuth] | REQUEST-URL:BODY-{
  "data": {
    "name": "ClientNameToBeChanged",
    "org_id": "OrgIdToBeChanged",
    "category_id": "ClientCategoryIdToBeChanged",
    "type": "ClientTypeToBeChanged"
  }
}

2017-05-10 09:53:59 | (com.phunware.core.api.tests.Client) | [verify_Put_Update_Existing_Client_InvalidAuth] | RESPONSE:{"status":"access denied","msg":"invalid token"}
